Year,Month,Variable,101,102
1895,1,precip,24.45647,24.45647
1895,2,precip,25.361643,25.361643
1895,3,precip,14.0053854,14.0053854
1895,4,precip,43.689865,43.689865
1895,5,precip,116.51873,116.51873
1895,6,precip,142.30821,142.30821
1895,7,precip,123.218025,123.218025
1895,8,precip,73.473846,73.473846
1895,9,precip,125.34902,125.34902
1895,10,precip,17.9414296,17.9414296
1895,11,precip,42.144623,42.144623
1895,12,precip,20.870683,20.870683
1896,1,precip,34.745451,34.745451
1896,2,precip,18.282572,18.282572
1896,3,precip,48.35781,48.35781
1896,4,precip,123.53603,123.53603
1896,5,precip,155.32895,155.32895
1896,6,precip,74.75286,74.75286
1896,7,precip,87.06639,87.06639
1896,8,precip,95.01601,95.01601
1896,9,precip,58.642403,58.642403
1896,10,precip,101.28235,101.28235
1896,11,precip,69.827805,69.827805
1896,12,precip,34.578487,34.578487
1897,1,precip,61.059273,61.059273
1897,2,precip,61.186497,61.186497
1897,3,precip,42.440918,42.440918
1897,4,precip,25.681483,25.681483
1897,5,precip,50.30231,50.30231
1897,6,precip,106.54925,106.54925
1897,7,precip,223.33842,223.33842
1897,8,precip,94.132935,94.132935
1897,9,precip,54.66938,54.66938
1897,10,precip,53.11331,53.11331
1897,11,precip,20.296264,20.296264
1897,12,precip,24.96047,24.96047
1898,1,precip,21.22369,21.22369
1898,2,precip,25.173943,25.173943
1898,3,precip,27.442339,27.442339
1898,4,precip,26.23269,26.23269
1898,5,precip,81.09889,81.09889
1898,6,precip,156.48036,156.48036
1898,7,precip,113.041466,113.041466
1898,8,precip,87.435616,87.435616
1898,9,precip,69.48155,69.48155
1898,10,precip,85.22889,85.22889
1898,11,precip,35.740032,35.740032
1898,12,precip,19.037725,19.037725
1899,1,precip,22.642443,22.642443
1899,2,precip,23.53662,23.53662
1899,3,precip,27.881155,27.881155
1899,4,precip,52.866096,52.866096
1899,5,precip,131.14962,131.14962
1899,6,precip,157.02289,157.02289
1899,7,precip,113.9286,113.9286
1899,8,precip,154.97679,154.97679
1899,9,precip,88.704445,88.704445
1899,10,precip,92.74966,92.74966
1899,11,precip,24.361996,24.361996
1899,12,precip,33.484428,33.484428
1900,1,precip,25.666974,25.666974
1900,2,precip,16.4392576,16.4392576
1900,3,precip,17.761058,17.761058
1900,4,precip,22.618911,22.618911
1900,5,precip,36.597193,36.597193
1900,6,precip,34.60753,34.60753
1900,7,precip,104.80487,104.80487
1900,8,precip,210.45285,210.45285
1900,9,precip,170.26012,170.26012
